sms,category
"Rs. 199 debited at Swiggy via UPI Ref 38291",Food
"INR 350 sent to Amazon using PhonePe. UPI: 48327",Shopping
"Your A/C XXXX3212 debited with INR 560. BSES Bill Payment",Bills
"Rs. 149 recharged to your Jio number via MyJio app",Recharge
"Rs. 200 withdrawn at SBI ATM, Ref No 24842",Cash Withdrawal
"Rs. 450 paid to Uber via Paytm",Transport
"Rs. 650 spent at Domino's Pizza",Food
"Rs. 999 debited for Netflix Monthly Plan",Entertainment
"INR 820 debited for IRCTC Booking, Ref IRCTC1234",Travel
"Rs. 145 paid to ACT Fibernet via Google Pay",Bills
"Rs. 1200 transferred to HDFC A/C 5782 via UPI",Bank Transfer
"Rs. 270 debited at BigBasket via UPI",Groceries
"Rs. 1099 paid to Flipkart for shopping. UPI Ref: 89328",Shopping
"INR 300 paid to Airtel for Prepaid Recharge",Recharge
"INR 700 paid to Maharashtra Electricity Board",Bills
"Rs. 1000 sent to mom via GPay",Family Transfer
"Rs. 999 paid to Sony Liv via UPI",Entertainment
"Rs. 150 debited at CCD",Food
"Rs. 560 debited to BookMyShow for Movie",Entertainment
"Rs. 320 paid to Ola driver via Paytm",Transport
"Rs. 2900 EMI paid to Bajaj Finserv",Loan Repayment
"Rs. 699 sent to Myntra for clothes",Shopping
"Rs. 1800 credited from Ravi via UPI",Incoming Transfer
"Rs. 8000 debited for LIC Insurance",Insurance
"Rs. 99 paid to Hotstar",Entertainment
"Rs. 420 debited at Dmart",Groceries
"Rs. 180 paid to Zomato",Food
"Rs. 850 withdrawn at ICICI ATM",Cash Withdrawal
"INR 2000 transferred to PPF Account",Investment
"Rs. 130 paid to Idea Mobile",Recharge
"Rs. 650 debited for Jet Airways Ticket",Travel
"Rs. 470 debited at Natureâ€™s Basket",Groceries
"Rs. 210 sent to Tata Sky DTH",Bills
"Rs. 780 paid to Rapido driver",Transport
"Rs. 500 EMI paid to HDFC Bank",Loan Repayment
"Rs. 5600 credited via NEFT from ABC Corp",Salary
"INR 699 debited for Zee5 Subscription",Entertainment
"Rs. 700 spent at Burger King",Food
"Rs. 2500 debited for Axis Bank Credit Card Bill",Bills
